CollectionID,LoanID,CollectionDate,CollectionMethod,CollectionResult
COL001149,LOAN005983,2021-09-04,Phone,Success
COL001150,LOAN003885,2024-03-18,Phone,Failure
COL001151,LOAN003820,2020-11-09,Phone,Success
COL001152,LOAN007869,2025-05-12,Phone,Success
COL001153,LOAN003354,2021-05-12,Phone,Failure
COL001154,LOAN008913,2024-07-05,Phone,Success
COL001155,LOAN002728,2024-10-02,Phone,Success
COL001156,LOAN006586,2023-01-20,SMS,Success
COL001157,LOAN000576,2019-10-09,Phone,Failure
COL001158,LOAN001929,2023-01-02,Phone,Success
COL001159,LOAN006526,2025-01-25,SMS,Success
COL001160,LOAN002706,2026-08-19,SMS,Success
COL001161,LOAN006128,2024-03-24,Phone,Success
COL001162,LOAN009523,2025-01-15,SMS,Success
COL001163,LOAN003261,2020-10-18,SMS,Success
COL001164,LOAN003583,2025-04-22,Phone,Failure
COL001165,LOAN007229,2024-06-25,Phone,Failure
COL001166,LOAN001016,2019-08-29,In-person,Success
COL001167,LOAN006926,2023-02-05,In-person,Success
COL001168,LOAN001466,2023-04-06,In-person,Success
COL001169,LOAN003461,2026-07-23,Phone,Success
COL001170,LOAN002037,2022-11-23,SMS,Success
COL001171,LOAN004927,2022-09-13,Phone,Success
COL001172,LOAN005822,2023-04-11,In-person,Failure
COL001173,LOAN000175,2020-11-04,Phone,Success
COL001174,LOAN003614,2024-07-27,In-person,Failure
COL001175,LOAN001829,2023-12-31,Phone,Failure
COL001176,LOAN002744,2021-01-24,SMS,Success
COL001177,LOAN005842,2019-07-23,Phone,Success
COL001178,LOAN000971,2020-10-09,In-person,Failure
COL001179,LOAN006454,2019-11-06,Phone,Success
COL001180,LOAN008085,2019-12-26,SMS,Failure
COL001181,LOAN007792,2021-02-17,Phone,Failure
COL001182,LOAN001879,2024-02-29,Phone,Success
COL001183,LOAN009617,2022-03-17,In-person,Success
COL001184,LOAN000792,2019-09-25,SMS,Failure
COL001185,LOAN009614,2024-07-10,SMS,Failure
COL001186,LOAN000220,2022-10-03,Phone,Success
COL001187,LOAN005272,2028-04-06,In-person,Failure
COL001188,LOAN000758,2023-09-14,Phone,Success
COL001189,LOAN008383,2020-08-16,In-person,Failure
COL001190,LOAN004969,2023-11-16,SMS,Failure
COL001191,LOAN003021,2024-09-23,SMS,Success
COL001192,LOAN007109,2024-02-07,SMS,Success
COL001193,LOAN004356,2024-07-31,SMS,Failure
COL001194,LOAN000385,2023-04-23,In-person,Success
COL001195,LOAN007035,2023-11-11,In-person,Failure
COL001196,LOAN008626,2021-02-09,In-person,Success
COL001197,LOAN006601,2021-04-16,SMS,Success
COL001198,LOAN000217,2022-11-14,Phone,Failure
COL001199,LOAN001965,2022-12-13,Phone,Success
COL001200,LOAN002397,2024-01-23,Phone,Failure
COL001201,LOAN005886,2025-02-13,In-person,Failure
COL001202,LOAN005191,2023-10-27,SMS,Success
COL001203,LOAN000072,2024-07-11,Phone,Failure
COL001204,LOAN002360,2024-06-16,Phone,Failure
COL001205,LOAN007718,2019-10-01,SMS,Success
COL001206,LOAN004221,2025-11-10,Phone,Failure
COL001207,LOAN007221,2021-09-23,SMS,Success
COL001208,LOAN000240,2020-06-30,SMS,Success
COL001209,LOAN009325,2021-02-13,Phone,Success
COL001210,LOAN000564,2023-03-21,SMS,Success
COL001211,LOAN004782,2021-05-27,In-person,Failure
COL001212,LOAN005889,2022-05-17,Phone,Success
COL001213,LOAN000280,2022-08-31,In-person,Success
COL001214,LOAN003501,2026-11-22,Phone,Failure
COL001215,LOAN003892,2025-03-26,Phone,Failure
COL001216,LOAN007746,2023-03-14,SMS,Success
COL001217,LOAN005106,2020-11-22,SMS,Failure
COL001218,LOAN006080,2025-08-21,Phone,Success
COL001219,LOAN009286,2025-08-31,Phone,Success
COL001220,LOAN004767,2020-01-12,Phone,Success
COL001221,LOAN008522,2027-10-07,Phone,Failure
COL001222,LOAN007502,2023-06-20,Phone,Success
COL001223,LOAN009417,2019-11-28,SMS,Failure
COL001224,LOAN002405,2020-01-04,In-person,Failure
COL001225,LOAN001060,2020-07-18,Phone,Success
COL001226,LOAN000693,2024-10-05,SMS,Failure
COL001227,LOAN000417,2020-02-23,Phone,Failure
COL001228,LOAN002387,2023-06-05,SMS,Success
COL001229,LOAN003188,2024-09-17,Phone,Success
COL001230,LOAN004949,2021-05-19,Phone,Success
COL001231,LOAN006593,2022-03-14,Phone,Failure
COL001232,LOAN009055,2022-01-10,Phone,Success
COL001233,LOAN003995,2025-10-01,Phone,Failure
COL001234,LOAN008527,2024-05-31,In-person,Success
COL001235,LOAN000209,2020-05-03,Phone,Success
COL001236,LOAN006329,2022-11-29,Phone,Success
COL001237,LOAN005020,2023-06-26,In-person,Failure
COL001238,LOAN009683,2021-07-10,SMS,Success
COL001239,LOAN003654,2025-02-22,SMS,Failure
COL001240,LOAN008610,2021-11-12,SMS,Success
COL001241,LOAN001197,2023-11-08,Phone,Success
COL001242,LOAN000579,2024-06-18,SMS,Success
COL001243,LOAN003845,2021-10-14,SMS,Failure
COL001244,LOAN005934,2023-08-18,Phone,Failure
COL001245,LOAN008320,2024-10-09,SMS,Success
COL001246,LOAN007680,2022-11-21,SMS,Success
COL001247,LOAN003264,2027-06-09,Phone,Failure
COL001248,LOAN003099,2024-04-24,Phone,Success
COL001249,LOAN009654,2022-11-14,SMS,Failure
COL001250,LOAN009726,2021-06-23,Phone,Success
COL001251,LOAN002770,2024-11-30,SMS,Success
COL001252,LOAN002294,2021-09-18,In-person,Success
COL001253,LOAN000914,2022-11-30,SMS,Failure
COL001254,LOAN009818,2021-03-04,Phone,Failure
COL001255,LOAN002457,2020-03-01,Phone,Success
COL001256,LOAN004525,2022-02-18,SMS,Success
COL001257,LOAN001692,2019-10-11,Phone,Success
COL001258,LOAN008288,2020-02-17,Phone,Success
COL001259,LOAN004662,2027-01-12,In-person,Success
COL001260,LOAN005240,2022-07-16,In-person,Success
COL001261,LOAN006101,2024-12-02,SMS,Failure
COL001262,LOAN000627,2023-03-03,In-person,Success
COL001263,LOAN002095,2023-08-09,SMS,Failure
COL001264,LOAN002859,2022-02-19,Phone,Success
COL001265,LOAN005171,2021-06-20,SMS,Success
COL001266,LOAN000019,2020-02-04,SMS,Success
COL001267,LOAN000214,2024-09-01,Phone,Success
COL001268,LOAN005065,2021-02-02,Phone,Success
COL001269,LOAN007702,2022-08-05,SMS,Failure
COL001270,LOAN005306,2021-04-17,SMS,Success
COL001271,LOAN001490,2026-04-20,In-person,Success
COL001272,LOAN006971,2025-07-18,In-person,Failure
COL001273,LOAN009594,2020-06-02,Phone,Failure
COL001274,LOAN002950,2023-07-03,SMS,Success
COL001275,LOAN009833,2021-11-23,SMS,Failure
COL001276,LOAN003134,2022-03-18,SMS,Success
COL001277,LOAN001122,2023-03-03,Phone,Success
COL001278,LOAN006797,2021-10-11,SMS,Success
COL001279,LOAN008210,2023-07-23,Phone,Success
COL001280,LOAN000415,2023-04-11,Phone,Success
COL001281,LOAN004512,2024-09-07,SMS,Failure
COL001282,LOAN001286,2022-08-07,In-person,Failure
COL001283,LOAN004406,2021-03-01,SMS,Failure
COL001284,LOAN003170,2023-03-26,SMS,Success
COL001285,LOAN002897,2023-04-22,Phone,Failure
COL001286,LOAN009248,2025-04-27,Phone,Failure
COL001287,LOAN005115,2021-10-29,Phone,Success
COL001288,LOAN009381,2021-09-15,Phone,Success
COL001289,LOAN008291,2022-06-25,SMS,Success
COL001290,LOAN005208,2024-06-05,Phone,Failure
COL001291,LOAN008249,2024-01-30,Phone,Success
COL001292,LOAN008516,2023-06-19,Phone,Success
COL001293,LOAN000418,2022-04-13,Phone,Success
COL001294,LOAN006110,2021-09-09,Phone,Failure
COL001295,LOAN007444,2023-01-01,Phone,Success
COL001296,LOAN007523,2023-07-04,In-person,Failure
COL001297,LOAN000134,2024-02-18,Phone,Success
COL001298,LOAN003292,2022-08-13,Phone,Success
COL001299,LOAN002176,2020-02-11,Phone,Success
COL001300,LOAN008692,2020-05-06,Phone,Failure
COL001301,LOAN009223,2025-06-12,In-person,Success
COL001302,LOAN009137,2026-04-08,SMS,Success
COL001303,LOAN009660,2025-04-25,SMS,Success
COL001304,LOAN004372,2020-07-14,SMS,Failure
COL001305,LOAN003306,2021-09-17,SMS,Failure
COL001306,LOAN005910,2023-09-08,Phone,Failure
COL001307,LOAN004542,2021-01-14,SMS,Failure
COL001308,LOAN009944,2024-03-05,Phone,Failure
COL001309,LOAN004802,2020-05-03,Phone,Success
COL001310,LOAN006369,2020-08-21,Phone,Success
COL001311,LOAN009209,2024-05-13,SMS,Success
COL001312,LOAN009922,2023-01-04,SMS,Success
COL001313,LOAN003434,2028-11-29,Phone,Success
COL001314,LOAN009269,2024-02-19,In-person,Success
COL001315,LOAN003516,2022-09-30,SMS,Success
COL001316,LOAN003931,2024-10-27,SMS,Success
COL001317,LOAN001801,2020-03-10,Phone,Success
COL001318,LOAN009142,2024-11-16,SMS,Success
COL001319,LOAN007016,2025-04-24,Phone,Success
COL001320,LOAN006881,2022-08-02,In-person,Failure
COL001321,LOAN009933,2023-02-20,In-person,Success
COL001322,LOAN001868,2026-04-24,Phone,Failure
COL001323,LOAN002040,2019-12-15,Phone,Success
COL001324,LOAN001679,2025-02-15,Phone,Success
COL001325,LOAN004870,2026-11-09,Phone,Success
COL001326,LOAN002656,2021-05-26,SMS,Success
COL001327,LOAN006108,2024-09-27,Phone,Failure
COL001328,LOAN002363,2026-10-20,Phone,Success
COL001329,LOAN005645,2023-10-22,Phone,Failure
COL001330,LOAN000517,2025-01-28,In-person,Success
COL001331,LOAN006492,2023-05-08,In-person,Success
COL001332,LOAN003808,2019-12-07,Phone,Failure
COL001333,LOAN008011,2023-05-17,Phone,Failure
COL001334,LOAN006826,2022-11-09,Phone,Failure
COL001335,LOAN000125,2023-11-01,SMS,Failure
COL001336,LOAN007943,2025-11-19,In-person,Success
COL001337,LOAN002399,2023-02-18,Phone,Failure
COL001338,LOAN000634,2022-02-24,Phone,Success
COL001339,LOAN009952,2025-07-20,SMS,Success
COL001340,LOAN002395,2019-09-22,SMS,Success
COL001341,LOAN007362,2025-04-08,Phone,Success
COL001342,LOAN007173,2026-12-16,Phone,Failure
COL001343,LOAN009877,2025-02-24,In-person,Success
COL001344,LOAN008369,2024-04-04,Phone,Success
COL001345,LOAN003040,2027-09-04,Phone,Failure
COL001346,LOAN009549,2020-09-11,SMS,Success
COL001347,LOAN002648,2023-11-29,SMS,Failure
COL001348,LOAN001391,2023-07-07,SMS,Success
COL001349,LOAN002627,2025-01-14,Phone,Success
COL001350,LOAN003880,2022-12-10,Phone,Failure
COL001351,LOAN001184,2020-08-23,Phone,Failure
COL001352,LOAN002278,2022-07-16,In-person,Failure
COL001353,LOAN000458,2023-07-08,Phone,Success
COL001354,LOAN002316,2024-06-30,Phone,Failure
COL001355,LOAN001765,2022-02-13,Phone,Failure
COL001356,LOAN000559,2024-06-20,SMS,Success
COL001357,LOAN002426,2022-12-01,SMS,Failure
COL001358,LOAN009603,2023-03-01,In-person,Failure
COL001359,LOAN003515,2021-02-19,Phone,Failure
COL001360,LOAN004079,2024-04-28,Phone,Success
COL001361,LOAN008407,2022-09-10,SMS,Success
COL001362,LOAN003607,2021-12-05,SMS,Success
COL001363,LOAN000477,2024-03-28,Phone,Success
COL001364,LOAN005443,2024-04-17,SMS,Success
COL001365,LOAN004410,2020-09-07,SMS,Success
COL001366,LOAN002709,2023-01-01,Phone,Success
COL001367,LOAN005294,2022-08-13,In-person,Failure
COL001368,LOAN004059,2021-12-24,In-person,Failure
COL001369,LOAN008626,2021-01-10,Phone,Success
COL001370,LOAN001980,2022-01-08,SMS,Failure
COL001371,LOAN003780,2025-06-03,Phone,Failure
COL001372,LOAN006576,2021-05-10,Phone,Success
COL001373,LOAN004073,2021-07-16,Phone,Success
COL001374,LOAN005146,2019-08-27,SMS,Success
COL001375,LOAN004604,2023-10-30,Phone,Success
COL001376,LOAN002800,2024-06-23,In-person,Success
COL001377,LOAN003132,2022-02-14,SMS,Success
COL001378,LOAN000069,2019-08-12,Phone,Success
COL001379,LOAN003961,2020-03-03,In-person,Success
COL001380,LOAN000443,2019-08-11,SMS,Success
COL001381,LOAN005528,2023-01-13,In-person,Failure
COL001382,LOAN005693,2025-03-06,In-person,Success
COL001383,LOAN002722,2023-08-03,In-person,Failure
COL001384,LOAN009461,2023-11-09,Phone,Failure
COL001385,LOAN004660,2019-12-03,Phone,Success
COL001386,LOAN003921,2022-10-03,In-person,Failure
COL001387,LOAN000002,2020-06-11,Phone,Success
COL001388,LOAN001846,2019-12-05,Phone,Success
COL001389,LOAN009341,2023-01-11,SMS,Failure
COL001390,LOAN005646,2020-04-26,SMS,Failure
COL001391,LOAN009426,2024-05-03,SMS,Success
COL001392,LOAN009699,2028-06-06,Phone,Failure
COL001393,LOAN001924,2021-06-24,SMS,Success
COL001394,LOAN007755,2022-01-02,Phone,Success
COL001395,LOAN006011,2024-12-18,SMS,Failure
COL001396,LOAN001615,2026-02-08,Phone,Success
COL001397,LOAN009316,2022-06-28,Phone,Failure
COL001398,LOAN003616,2023-04-02,SMS,Success
COL001399,LOAN000622,2024-03-24,SMS,Failure
COL001400,LOAN006350,2020-06-04,SMS,Success
COL001401,LOAN001057,2024-12-21,Phone,Success
COL001402,LOAN008440,2020-11-01,Phone,Success
COL001403,LOAN001691,2024-03-13,SMS,Success
COL001404,LOAN001470,2023-04-19,Phone,Success
COL001405,LOAN009806,2021-02-21,SMS,Failure
COL001406,LOAN007158,2022-01-20,SMS,Failure
COL001407,LOAN008692,2019-10-09,SMS,Success
COL001408,LOAN009272,2021-12-30,Phone,Failure
COL001409,LOAN003518,2025-12-19,In-person,Success
COL001410,LOAN007555,2020-11-06,In-person,Failure
COL001411,LOAN004521,2024-05-17,In-person,Failure
COL001412,LOAN000528,2022-01-01,Phone,Failure
COL001413,LOAN003047,2022-01-15,Phone,Success
COL001414,LOAN002202,2020-02-12,SMS,Success
COL001415,LOAN002274,2024-01-15,SMS,Failure
COL001416,LOAN009965,2024-02-22,SMS,Success
COL001417,LOAN004486,2023-01-18,In-person,Failure
COL001418,LOAN006911,2020-08-22,SMS,Success
COL001419,LOAN005190,2019-05-23,Phone,Success
COL001420,LOAN006069,2021-10-14,Phone,Success
COL001421,LOAN000173,2021-11-23,SMS,Failure
COL001422,LOAN009692,2022-06-14,In-person,Failure
COL001423,LOAN002732,2024-01-14,In-person,Success
COL001424,LOAN007979,2020-12-28,SMS,Success
COL001425,LOAN004792,2024-12-30,Phone,Success
COL001426,LOAN003206,2023-02-28,SMS,Failure
COL001427,LOAN001968,2025-01-14,In-person,Success
COL001428,LOAN000828,2023-02-09,Phone,Success
COL001429,LOAN005295,2022-01-08,SMS,Success
COL001430,LOAN007871,2024-03-31,Phone,Success
COL001431,LOAN002150,2026-04-25,In-person,Success
COL001432,LOAN002326,2025-08-21,SMS,Success
COL001433,LOAN001797,2020-06-10,Phone,Failure
COL001434,LOAN009820,2024-02-06,SMS,Success
COL001435,LOAN008445,2021-01-05,Phone,Failure
COL001436,LOAN009986,2022-01-01,In-person,Success
COL001437,LOAN002753,2024-04-23,SMS,Failure
COL001438,LOAN006323,2022-05-09,Phone,Success
COL001439,LOAN005343,2021-11-06,SMS,Success
COL001440,LOAN005565,2023-10-12,Phone,Success
COL001441,LOAN003989,2023-12-11,Phone,Success
COL001442,LOAN007702,2023-01-02,In-person,Success
COL001443,LOAN008773,2020-02-09,In-person,Failure
COL001444,LOAN006455,2024-12-25,In-person,Success
COL001445,LOAN002662,2024-11-27,In-person,Success
COL001446,LOAN002424,2022-09-08,Phone,Success
COL001447,LOAN007167,2022-11-05,Phone,Success
COL001448,LOAN007705,2023-08-31,SMS,Success
COL001449,LOAN002988,2021-08-26,In-person,Failure
COL001450,LOAN002044,2023-09-28,Phone,Success
COL001451,LOAN000540,2020-08-04,In-person,Failure
COL001452,LOAN008707,2020-03-25,Phone,Success
COL001453,LOAN009679,2021-06-28,SMS,Failure
COL001454,LOAN007605,2023-10-02,Phone,Success
COL001455,LOAN006526,2022-09-08,Phone,Success
COL001456,LOAN004636,2022-07-06,In-person,Success
COL001457,LOAN008152,2025-06-17,SMS,Failure
COL001458,LOAN009702,2022-01-26,SMS,Success
COL001459,LOAN000472,2020-12-16,Phone,Failure
COL001460,LOAN009722,2021-03-25,Phone,Failure
COL001461,LOAN000587,2021-10-28,Phone,Failure
COL001462,LOAN003087,2022-09-30,In-person,Success
COL001463,LOAN006937,2023-10-08,Phone,Success
COL001464,LOAN008971,2019-11-13,Phone,Failure
COL001465,LOAN008442,2025-01-07,Phone,Success
COL001466,LOAN005748,2024-07-27,Phone,Success
COL001467,LOAN007254,2021-12-23,SMS,Failure
COL001468,LOAN001916,2022-06-28,SMS,Success
COL001469,LOAN007839,2021-07-19,SMS,Failure
COL001470,LOAN002368,2021-02-13,Phone,Success
COL001471,LOAN001283,2019-05-05,Phone,Failure
COL001472,LOAN007947,2025-07-07,In-person,Failure
COL001473,LOAN004704,2023-04-13,Phone,Success
COL001474,LOAN000258,2020-09-03,Phone,Failure
COL001475,LOAN000748,2023-07-26,Phone,Failure
COL001476,LOAN001757,2021-03-10,Phone,Success
COL001477,LOAN002013,2024-07-17,Phone,Success
COL001478,LOAN000043,2022-09-22,In-person,Success
COL001479,LOAN009802,2023-04-19,SMS,Failure
COL001480,LOAN008480,2019-11-15,Phone,Success
COL001481,LOAN003494,2021-10-13,Phone,Failure
COL001482,LOAN006110,2022-08-05,Phone,Failure
COL001483,LOAN000901,2024-12-02,Phone,Failure
COL001484,LOAN002549,2023-11-18,Phone,Failure
COL001485,LOAN000420,2024-06-15,Phone,Failure
COL001486,LOAN004754,2022-08-06,Phone,Failure
COL001487,LOAN000515,2024-09-04,In-person,Success
COL001488,LOAN001478,2022-03-28,In-person,Failure
COL001489,LOAN003851,2022-07-29,Phone,Failure
COL001490,LOAN001320,2025-11-02,Phone,Failure
COL001491,LOAN002772,2023-02-07,SMS,Failure
COL001492,LOAN004771,2025-02-06,SMS,Failure
COL001493,LOAN008296,2023-09-05,In-person,Failure
COL001494,LOAN001483,2020-09-11,In-person,Failure
COL001495,LOAN003469,2023-11-23,Phone,Success
COL001496,LOAN005611,2027-03-17,SMS,Failure
COL001497,LOAN003707,2021-08-31,In-person,Failure
COL001498,LOAN003152,2023-03-28,SMS,Failure
COL001499,LOAN008848,2021-10-01,In-person,Success
COL001500,LOAN000012,2020-12-07,Phone,Failure
COL001501,LOAN001494,2021-01-21,Phone,Success
COL001502,LOAN007791,2019-12-16,Phone,Success
COL001503,LOAN006670,2024-06-01,Phone,Success
COL001504,LOAN007423,2020-03-26,Phone,Success
COL001505,LOAN008472,2022-11-02,Phone,Success
COL001506,LOAN006401,2023-05-02,Phone,Success
COL001507,LOAN006654,2020-02-26,In-person,Success
COL001508,LOAN009876,2024-01-05,Phone,Failure
COL001509,LOAN007086,2021-02-18,SMS,Failure
COL001510,LOAN006756,2023-03-10,Phone,Success
COL001511,LOAN005586,2021-03-09,SMS,Failure
COL001512,LOAN004440,2025-02-04,SMS,Failure
COL001513,LOAN002362,2020-11-30,SMS,Success
COL001514,LOAN007271,2023-08-18,SMS,Failure
COL001515,LOAN002820,2020-02-01,In-person,Success
COL001516,LOAN008942,2021-04-01,SMS,Success
COL001517,LOAN000982,2026-12-10,Phone,Success
COL001518,LOAN001607,2023-04-03,SMS,Success
COL001519,LOAN002857,2021-12-26,SMS,Failure
COL001520,LOAN002023,2023-06-21,SMS,Success
COL001521,LOAN001856,2025-01-14,SMS,Success
COL001522,LOAN005813,2024-12-13,Phone,Success
COL001523,LOAN001674,2023-03-25,SMS,Success
COL001524,LOAN003017,2021-11-09,In-person,Success
COL001525,LOAN007891,2020-01-07,Phone,Failure
COL001526,LOAN004694,2021-09-28,SMS,Failure
COL001527,LOAN003113,2019-11-19,In-person,Success
COL001528,LOAN001489,2022-02-23,Phone,Failure
COL001529,LOAN000765,2022-10-21,Phone,Failure
COL001530,LOAN000046,2025-07-31,Phone,Failure
COL001531,LOAN009808,2020-11-22,SMS,Success
COL001532,LOAN006378,2021-05-12,SMS,Success
COL001533,LOAN000201,2023-04-15,Phone,Success
COL001534,LOAN006402,2023-05-19,In-person,Success
COL001535,LOAN002991,2021-09-25,SMS,Success
COL001536,LOAN009441,2021-01-27,Phone,Success
COL001537,LOAN001437,2023-12-25,Phone,Success
COL001538,LOAN005435,2023-10-02,SMS,Failure
COL001539,LOAN002268,2020-07-24,Phone,Success
COL001540,LOAN004709,2024-05-16,In-person,Failure
COL001541,LOAN002927,2024-08-26,In-person,Success
COL001542,LOAN007891,2021-03-02,In-person,Failure
COL001543,LOAN008087,2021-04-22,Phone,Failure
COL001544,LOAN006653,2024-02-01,Phone,Failure
COL001545,LOAN008360,2024-07-12,Phone,Success
COL001546,LOAN005999,2021-01-25,SMS,Failure
COL001547,LOAN009934,2024-04-02,SMS,Failure
COL001548,LOAN008736,2021-05-10,Phone,Failure
COL001549,LOAN006399,2024-02-23,In-person,Success
COL001550,LOAN007950,2020-06-07,Phone,Failure
COL001551,LOAN003834,2021-03-06,In-person,Failure
COL001552,LOAN001469,2021-11-02,Phone,Success
COL001553,LOAN007469,2024-09-28,Phone,Success
COL001554,LOAN006095,2022-10-24,Phone,Success
COL001555,LOAN009276,2026-01-17,Phone,Success
COL001556,LOAN007070,2024-12-11,SMS,Failure
COL001557,LOAN006969,2025-03-05,SMS,Success
COL001558,LOAN004701,2022-01-30,Phone,Failure
COL001559,LOAN002202,2019-08-16,Phone,Success
COL001560,LOAN003580,2022-02-15,Phone,Failure
COL001561,LOAN005439,2024-06-22,SMS,Success
COL001562,LOAN003984,2021-02-14,Phone,Failure
COL001563,LOAN006257,2023-12-19,In-person,Failure
COL001564,LOAN005666,2021-01-22,In-person,Failure
COL001565,LOAN001826,2021-01-13,Phone,Success
COL001566,LOAN005437,2023-06-30,SMS,Success
COL001567,LOAN005654,2025-03-31,SMS,Success
COL001568,LOAN002603,2024-05-26,Phone,Success
COL001569,LOAN003755,2020-06-16,In-person,Success
COL001570,LOAN003942,2021-02-12,In-person,Success
COL001571,LOAN009679,2021-04-29,Phone,Failure
COL001572,LOAN005215,2025-02-07,In-person,Success
COL001573,LOAN000403,2024-12-28,SMS,Failure
COL001574,LOAN009777,2023-07-13,Phone,Failure
COL001575,LOAN006394,2023-04-22,SMS,Failure
COL001576,LOAN005565,2024-01-10,SMS,Failure
COL001577,LOAN001218,2022-05-11,In-person,Success
COL001578,LOAN005152,2020-08-16,Phone,Success
COL001579,LOAN000401,2023-12-25,Phone,Success
COL001580,LOAN009011,2027-09-05,Phone,Failure
COL001581,LOAN005345,2021-01-23,SMS,Failure
COL001582,LOAN006163,2024-01-15,SMS,Failure
COL001583,LOAN004221,2025-10-11,In-person,Success
COL001584,LOAN006480,2025-04-11,SMS,Success
COL001585,LOAN004043,2023-07-09,Phone,Success
COL001586,LOAN009409,2019-12-22,Phone,Failure
COL001587,LOAN007161,2024-08-14,In-person,Success
COL001588,LOAN003367,2023-06-17,SMS,Failure
COL001589,LOAN002135,2023-11-28,SMS,Failure
COL001590,LOAN000713,2021-02-27,Phone,Failure
COL001591,LOAN006763,2027-02-15,SMS,Success
COL001592,LOAN006994,2021-01-24,Phone,Success
COL001593,LOAN007586,2020-10-18,SMS,Success
COL001594,LOAN003892,2025-09-22,In-person,Success
COL001595,LOAN002676,2021-03-08,In-person,Success
COL001596,LOAN009236,2020-10-09,Phone,Success
COL001597,LOAN004104,2023-06-02,Phone,Success
COL001598,LOAN004880,2024-04-11,SMS,Failure
COL001599,LOAN006797,2021-06-13,Phone,Success
COL001600,LOAN002433,2022-03-08,Phone,Success
COL001601,LOAN007732,2023-06-01,Phone,Success
COL001602,LOAN006411,2023-07-18,In-person,Success
COL001603,LOAN000533,2024-06-17,Phone,Success
COL001604,LOAN007725,2024-01-12,SMS,Success
COL001605,LOAN003781,2024-12-11,Phone,Success
COL001606,LOAN004443,2020-05-01,In-person,Failure
COL001607,LOAN002962,2024-10-13,Phone,Failure
COL001608,LOAN003719,2023-02-02,Phone,Success
COL001609,LOAN009408,2021-08-27,SMS,Failure
COL001610,LOAN002739,2025-03-26,Phone,Success
COL001611,LOAN007604,2024-03-27,SMS,Success
COL001612,LOAN008104,2020-06-23,In-person,Success
COL001613,LOAN008888,2019-04-18,Phone,Success
COL001614,LOAN009827,2021-08-20,SMS,Success
COL001615,LOAN001947,2021-11-22,In-person,Success
COL001616,LOAN001036,2021-07-16,Phone,Failure
COL001617,LOAN008444,2019-11-14,SMS,Success
COL001618,LOAN004788,2023-10-26,In-person,Success
COL001619,LOAN002910,2024-02-13,In-person,Success
COL001620,LOAN002677,2019-06-20,Phone,Failure
COL001621,LOAN007804,2024-08-24,SMS,Failure
COL001622,LOAN003263,2021-08-30,Phone,Success
COL001623,LOAN003059,2022-08-28,Phone,Success
COL001624,LOAN001780,2023-10-13,In-person,Success
COL001625,LOAN002331,2022-01-05,SMS,Success
COL001626,LOAN004618,2021-11-18,Phone,Failure
COL001627,LOAN005955,2023-12-12,SMS,Success
COL001628,LOAN001175,2020-07-13,SMS,Success
COL001629,LOAN005851,2023-09-11,SMS,Failure
COL001630,LOAN002804,2024-06-19,In-person,Success
COL001631,LOAN001339,2025-08-13,SMS,Success
COL001632,LOAN009989,2019-10-23,Phone,Success
COL001633,LOAN009942,2021-04-03,Phone,Success
COL001634,LOAN002263,2021-08-07,In-person,Success
COL001635,LOAN004435,2026-01-19,SMS,Success
COL001636,LOAN004653,2024-12-31,SMS,Success
COL001637,LOAN007092,2026-09-21,Phone,Success
COL001638,LOAN000592,2022-03-11,Phone,Failure
COL001639,LOAN005530,2022-01-31,SMS,Success
COL001640,LOAN009592,2025-02-13,In-person,Success
COL001641,LOAN003417,2026-06-09,SMS,Success
COL001642,LOAN004200,2024-01-15,Phone,Success
COL001643,LOAN004665,2022-12-14,SMS,Failure
COL001644,LOAN007603,2025-01-22,In-person,Failure
COL001645,LOAN000390,2024-04-07,SMS,Failure
COL001646,LOAN002820,2020-05-01,Phone,Success
COL001647,LOAN001139,2021-09-25,Phone,Failure
COL001648,LOAN006277,2022-02-14,SMS,Success
COL001649,LOAN008207,2019-11-05,Phone,Failure
COL001650,LOAN007084,2020-07-06,SMS,Success
COL001651,LOAN009842,2020-11-21,Phone,Failure
COL001652,LOAN003516,2022-02-02,SMS,Success
COL001653,LOAN002544,2020-10-10,Phone,Failure
COL001654,LOAN001331,2026-03-09,Phone,Success
COL001655,LOAN008192,2023-10-23,Phone,Failure
COL001656,LOAN004362,2020-03-03,SMS,Failure
COL001657,LOAN005568,2023-11-25,Phone,Success
COL001658,LOAN006266,2026-03-05,Phone,Success
COL001659,LOAN007477,2024-06-18,In-person,Success
COL001660,LOAN001052,2021-06-17,SMS,Success
COL001661,LOAN001897,2024-06-23,SMS,Failure
COL001662,LOAN002183,2021-09-04,In-person,Failure
COL001663,LOAN002339,2023-09-04,Phone,Failure
COL001664,LOAN009106,2023-10-29,Phone,Failure
COL001665,LOAN008279,2023-12-31,Phone,Success
COL001666,LOAN005440,2020-10-29,Phone,Success
COL001667,LOAN004544,2024-06-04,Phone,Success
COL001668,LOAN000062,2024-03-17,Phone,Success
COL001669,LOAN002479,2026-05-01,Phone,Success
COL001670,LOAN006370,2023-10-31,SMS,Success
COL001671,LOAN006836,2021-01-21,SMS,Failure
COL001672,LOAN008186,2023-04-14,SMS,Failure
COL001673,LOAN007488,2024-12-01,Phone,Failure
COL001674,LOAN002696,2027-05-18,In-person,Success
COL001675,LOAN001986,2025-05-12,Phone,Success
COL001676,LOAN004636,2022-03-08,Phone,Success
COL001677,LOAN004112,2019-08-19,SMS,Success
