LoanID,CustomerID,LoanType,LoanAmount,LoanTermMonths,InterestRate,DisbursementDate,ApprovalTimeDays
LOAN002560,CUST00061,Normal Loan,374492,31,0.1,2023-05-14,8
LOAN002561,CUST04103,Salary Advance,72784,10,0.05,2022-02-22,2
LOAN002562,CUST01295,Green Energy Loan,306760,22,0.07,2021-12-22,9
LOAN002563,CUST02895,Avocado Loan,522055,40,0.11,2019-03-26,12
LOAN002564,CUST04617,Maziwa Loan,228218,30,0.09,2019-06-10,7
LOAN002565,CUST00213,Emergency Loan,22737,6,0.09,2019-12-28,1
LOAN002566,CUST01189,Salary Advance,64522,9,0.05,2021-10-27,3
LOAN002567,CUST00231,Jipange Loan,150646,13,0.08,2022-11-11,14
LOAN002568,CUST00668,Green Energy Loan,201154,23,0.07,2023-04-21,7
LOAN002569,CUST02412,Jipange Loan,164122,9,0.08,2024-10-27,12
LOAN002570,CUST02063,Salary Advance,81438,6,0.05,2023-06-11,2
LOAN002571,CUST03190,Boda Boda Loan,916274,39,0.12,2022-01-25,11
LOAN002572,CUST04184,Emergency Loan,36257,7,0.09,2020-04-12,3
LOAN002573,CUST00751,Salary Advance,98933,5,0.05,2024-08-27,1
LOAN002574,CUST02275,Seasonal Advance,103127,20,0.08,2023-01-26,12
LOAN002575,CUST03898,Jipange Loan,347162,19,0.08,2019-03-03,10
LOAN002576,CUST03727,Seasonal Advance,159426,13,0.08,2021-12-19,13
LOAN002577,CUST01268,Salary Advance,23539,10,0.05,2024-11-01,2
LOAN002578,CUST00421,Jipange Loan,112152,14,0.08,2020-03-13,13
LOAN002579,CUST04098,Emergency Loan,35104,11,0.09,2020-01-17,3
LOAN002580,CUST04527,Jipange Loan,191100,28,0.08,2019-05-31,14
LOAN002581,CUST01384,Avocado Loan,614012,12,0.11,2020-02-26,9
LOAN002582,CUST04732,Jipange Loan,442533,21,0.08,2019-07-26,8
LOAN002583,CUST03909,Normal Loan,730769,41,0.1,2023-02-09,9
LOAN002584,CUST03655,Boda Boda Loan,433539,45,0.12,2021-03-14,9
LOAN002585,CUST04676,Emergency Loan,24114,4,0.09,2024-11-23,1
LOAN002586,CUST00147,Additional Loan,488283,9,0.1,2024-01-21,7
LOAN002587,CUST03854,Green Energy Loan,379347,32,0.07,2024-06-21,8
LOAN002588,CUST02886,Maziwa Loan,327847,23,0.09,2019-10-12,9
LOAN002589,CUST04842,Additional Loan,58429,24,0.1,2021-10-10,1
LOAN002590,CUST03885,Normal Loan,405208,21,0.1,2023-11-03,12
LOAN002591,CUST01354,Seasonal Advance,346483,7,0.08,2022-05-27,13
LOAN002592,CUST03885,Special Advance,86419,7,0.06,2019-09-13,2
LOAN002593,CUST00771,Boda Boda Loan,667055,29,0.12,2024-01-11,13
LOAN002594,CUST02124,Boda Boda Loan,908108,26,0.12,2019-06-28,14
LOAN002595,CUST02340,Avocado Loan,106764,15,0.11,2022-11-27,11
LOAN002596,CUST03462,Jipange Loan,73335,35,0.08,2021-04-24,3
LOAN002597,CUST01774,Avocado Loan,192730,39,0.11,2024-07-26,14
LOAN002598,CUST02677,Jipange Loan,112856,16,0.08,2019-02-23,14
LOAN002599,CUST04137,Salary Advance,51280,10,0.05,2023-12-01,1
LOAN002600,CUST01741,Seasonal Advance,361221,7,0.08,2019-11-28,10
LOAN002601,CUST04542,Jipange Loan,120021,29,0.08,2019-11-13,9
LOAN002602,CUST00393,Seasonal Advance,108164,24,0.08,2019-08-09,13
LOAN002603,CUST01674,Seasonal Advance,177010,8,0.08,2023-09-29,10
LOAN002604,CUST00041,Special Advance,83110,7,0.06,2020-04-22,1
LOAN002605,CUST02971,Normal Loan,326255,35,0.1,2022-04-24,11
LOAN002606,CUST02058,Green Energy Loan,298697,8,0.07,2023-04-17,10
LOAN002607,CUST00561,Emergency Loan,41157,11,0.09,2019-10-28,1
LOAN002608,CUST00915,Additional Loan,25023,17,0.1,2024-02-21,2
LOAN002609,CUST02096,Avocado Loan,987940,39,0.11,2024-12-31,14
LOAN002610,CUST03196,Salary Advance,18714,3,0.05,2023-02-18,1
LOAN002611,CUST01175,Additional Loan,471458,33,0.1,2021-04-01,9
LOAN002612,CUST01636,Special Advance,46276,5,0.06,2020-04-10,2
LOAN002613,CUST04546,Emergency Loan,45793,4,0.09,2019-04-10,2
LOAN002614,CUST04883,Additional Loan,18307,33,0.1,2023-06-07,2
LOAN002615,CUST02686,Special Advance,37447,6,0.06,2022-06-25,2
LOAN002616,CUST03763,Jipange Loan,231338,8,0.08,2022-12-05,11
LOAN002617,CUST02315,Maziwa Loan,87438,21,0.09,2022-12-22,3
LOAN002618,CUST03331,Emergency Loan,49581,10,0.09,2024-05-20,3
LOAN002619,CUST03836,Emergency Loan,28977,9,0.09,2021-04-23,2
LOAN002620,CUST02493,Salary Advance,74790,6,0.05,2019-10-23,2
LOAN002621,CUST04574,Avocado Loan,438622,27,0.11,2024-03-23,7
LOAN002622,CUST02633,Boda Boda Loan,608882,36,0.12,2021-10-22,9
LOAN002623,CUST01616,Special Advance,76321,5,0.06,2023-12-06,1
LOAN002624,CUST01032,Special Advance,41114,12,0.06,2021-12-26,2
LOAN002625,CUST01193,Salary Advance,82772,11,0.05,2019-10-21,2
LOAN002626,CUST04846,Jipange Loan,203621,16,0.08,2021-08-12,12
LOAN002627,CUST02200,Jipange Loan,56417,14,0.08,2023-12-21,3
LOAN002628,CUST00381,Maziwa Loan,115153,10,0.09,2023-03-22,14
LOAN002629,CUST03033,Avocado Loan,85971,20,0.11,2022-11-17,3
LOAN002630,CUST03840,Normal Loan,701665,54,0.1,2019-12-02,8
LOAN002631,CUST01351,Green Energy Loan,276961,34,0.07,2024-01-17,13
LOAN002632,CUST01454,Salary Advance,82483,12,0.05,2023-06-29,2
LOAN002633,CUST04687,Emergency Loan,17403,8,0.09,2021-12-28,3
LOAN002634,CUST03132,Additional Loan,11604,27,0.1,2020-07-28,3
LOAN002635,CUST01152,Green Energy Loan,130828,16,0.07,2020-06-14,12
LOAN002636,CUST01407,Salary Advance,78326,3,0.05,2022-06-06,3
LOAN002637,CUST01194,Green Energy Loan,187781,34,0.07,2019-05-07,12
LOAN002638,CUST00552,Additional Loan,166305,23,0.1,2024-02-08,7
LOAN002639,CUST01051,Emergency Loan,31617,5,0.09,2022-03-14,3
LOAN002640,CUST02053,Special Advance,69944,3,0.06,2023-09-27,1
LOAN002641,CUST03380,Salary Advance,38618,9,0.05,2022-04-03,2
LOAN002642,CUST01767,Normal Loan,118225,17,0.1,2022-04-13,14
LOAN002643,CUST00253,Additional Loan,148026,10,0.1,2023-04-25,14
LOAN002644,CUST00179,Normal Loan,89818,28,0.1,2022-03-11,2
LOAN002645,CUST00257,Green Energy Loan,360737,12,0.07,2022-09-04,13
LOAN002646,CUST03916,Jipange Loan,70806,23,0.08,2024-02-29,3
LOAN002647,CUST04853,Seasonal Advance,176636,6,0.08,2021-12-13,14
LOAN002648,CUST02737,Jipange Loan,85657,33,0.08,2021-04-13,3
LOAN002649,CUST01480,Seasonal Advance,472238,16,0.08,2020-02-12,12
LOAN002650,CUST02602,Emergency Loan,39153,7,0.09,2024-12-02,3
LOAN002651,CUST01168,Jipange Loan,38703,13,0.08,2022-12-30,1
LOAN002652,CUST03617,Avocado Loan,838324,19,0.11,2023-01-25,14
LOAN002653,CUST02643,Maziwa Loan,100749,28,0.09,2023-01-29,10
LOAN002654,CUST03673,Boda Boda Loan,145289,16,0.12,2024-03-15,9
LOAN002655,CUST03040,Avocado Loan,772717,42,0.11,2019-09-22,8
LOAN002656,CUST03383,Seasonal Advance,234264,14,0.08,2020-11-27,10
LOAN002657,CUST00748,Seasonal Advance,96092,11,0.08,2019-04-29,1
LOAN002658,CUST02761,Emergency Loan,29225,12,0.09,2022-06-21,1
LOAN002659,CUST02711,Seasonal Advance,363980,13,0.08,2021-03-23,13
LOAN002660,CUST04894,Maziwa Loan,284604,24,0.09,2022-10-19,14
LOAN002661,CUST02493,Maziwa Loan,394734,13,0.09,2021-05-04,12
LOAN002662,CUST00096,Avocado Loan,225978,20,0.11,2023-12-03,8
LOAN002663,CUST04440,Seasonal Advance,331470,22,0.08,2020-11-02,13
LOAN002664,CUST04811,Boda Boda Loan,869893,47,0.12,2024-02-24,14
LOAN002665,CUST00244,Seasonal Advance,72449,24,0.08,2019-09-30,2
LOAN002666,CUST03709,Special Advance,13023,12,0.06,2021-07-28,3
LOAN002667,CUST00538,Salary Advance,71891,3,0.05,2023-03-09,2
LOAN002668,CUST03467,Green Energy Loan,200317,24,0.07,2023-10-28,11
LOAN002669,CUST04372,Seasonal Advance,452644,6,0.08,2021-08-11,10
LOAN002670,CUST01836,Avocado Loan,789501,20,0.11,2022-03-14,9
LOAN002671,CUST03858,Avocado Loan,890587,35,0.11,2024-10-04,8
LOAN002672,CUST03797,Special Advance,80265,6,0.06,2019-07-23,2
LOAN002673,CUST01678,Avocado Loan,418655,34,0.11,2024-03-16,9
LOAN002674,CUST00602,Salary Advance,58555,7,0.05,2021-02-27,1
LOAN002675,CUST03513,Avocado Loan,727242,19,0.11,2023-02-20,8
LOAN002676,CUST04630,Additional Loan,410099,34,0.1,2020-09-09,13
LOAN002677,CUST04036,Normal Loan,824885,17,0.1,2019-03-22,11
LOAN002678,CUST01074,Emergency Loan,10174,6,0.09,2019-12-14,2
LOAN002679,CUST01636,Seasonal Advance,292248,20,0.08,2023-04-08,12
LOAN002680,CUST00272,Avocado Loan,67822,57,0.11,2020-12-24,2
LOAN002681,CUST03943,Maziwa Loan,418587,22,0.09,2019-12-24,9
LOAN002682,CUST04065,Maziwa Loan,236389,6,0.09,2019-10-20,13
LOAN002683,CUST01507,Seasonal Advance,353123,16,0.08,2024-12-22,13
LOAN002684,CUST04419,Special Advance,10819,5,0.06,2019-05-10,1
LOAN002685,CUST01812,Emergency Loan,34313,11,0.09,2020-08-15,2
LOAN002686,CUST00193,Salary Advance,37565,12,0.05,2024-04-08,2
LOAN002687,CUST00508,Salary Advance,15751,8,0.05,2023-02-27,1
LOAN002688,CUST01162,Avocado Loan,873834,16,0.11,2023-08-12,7
LOAN002689,CUST03523,Maziwa Loan,430850,26,0.09,2024-01-17,13
LOAN002690,CUST04000,Avocado Loan,522910,47,0.11,2022-12-08,12
LOAN002691,CUST03541,Boda Boda Loan,265865,39,0.12,2022-06-13,14
LOAN002692,CUST04568,Avocado Loan,874339,51,0.11,2019-07-08,14
LOAN002693,CUST01659,Avocado Loan,473528,59,0.11,2022-11-09,7
LOAN002694,CUST02136,Jipange Loan,239054,7,0.08,2020-10-26,7
LOAN002695,CUST04532,Salary Advance,97257,7,0.05,2022-03-29,1
LOAN002696,CUST04234,Boda Boda Loan,424251,56,0.12,2024-03-04,14
LOAN002697,CUST03804,Jipange Loan,197118,24,0.08,2019-08-11,10
LOAN002698,CUST03834,Green Energy Loan,37343,35,0.07,2024-06-30,3
LOAN002699,CUST01866,Boda Boda Loan,636528,29,0.12,2022-06-08,9
LOAN002700,CUST03945,Green Energy Loan,218953,34,0.07,2019-04-15,8
LOAN002701,CUST02974,Avocado Loan,870861,54,0.11,2021-12-27,9
LOAN002702,CUST04213,Additional Loan,168368,17,0.1,2021-03-11,12
LOAN002703,CUST00847,Additional Loan,279104,25,0.1,2021-11-30,9
LOAN002704,CUST00959,Seasonal Advance,117479,9,0.08,2022-11-30,9
LOAN002705,CUST02904,Maziwa Loan,363273,33,0.09,2019-08-30,9
LOAN002706,CUST01098,Additional Loan,115390,24,0.1,2024-08-29,14
LOAN002707,CUST03092,Jipange Loan,374134,29,0.08,2024-03-06,10
LOAN002708,CUST01053,Seasonal Advance,457064,13,0.08,2021-11-05,11
LOAN002709,CUST02754,Special Advance,99370,7,0.06,2022-07-05,3
LOAN002710,CUST01730,Seasonal Advance,255083,14,0.08,2021-10-17,10
LOAN002711,CUST01992,Emergency Loan,44317,9,0.09,2024-05-22,2
LOAN002712,CUST04918,Additional Loan,476717,28,0.1,2021-05-27,13
LOAN002713,CUST03929,Maziwa Loan,100624,7,0.09,2022-08-13,14
LOAN002714,CUST01298,Normal Loan,277259,36,0.1,2020-03-06,7
LOAN002715,CUST01773,Additional Loan,356900,15,0.1,2022-06-08,11
LOAN002716,CUST01745,Normal Loan,265109,58,0.1,2019-01-02,8
LOAN002717,CUST04382,Maziwa Loan,443838,29,0.09,2019-07-09,12
LOAN002718,CUST01288,Avocado Loan,716321,46,0.11,2019-01-22,14
LOAN002719,CUST03741,Jipange Loan,165421,11,0.08,2023-10-08,7
LOAN002720,CUST01875,Special Advance,95845,10,0.06,2024-05-26,3
LOAN002721,CUST03538,Maziwa Loan,482256,36,0.09,2022-11-24,8
LOAN002722,CUST02698,Avocado Loan,564639,51,0.11,2021-03-16,12
LOAN002723,CUST00633,Boda Boda Loan,575201,34,0.12,2021-02-06,9
LOAN002724,CUST03818,Emergency Loan,47997,10,0.09,2022-01-10,3
LOAN002725,CUST04662,Boda Boda Loan,470525,60,0.12,2022-07-25,9
LOAN002726,CUST04421,Jipange Loan,114588,27,0.08,2020-06-25,11
LOAN002727,CUST04119,Boda Boda Loan,153166,59,0.12,2022-04-21,7
LOAN002728,CUST00223,Avocado Loan,74759,53,0.11,2024-06-04,3
LOAN002729,CUST00839,Green Energy Loan,257556,23,0.07,2020-09-30,12
LOAN002730,CUST04884,Salary Advance,89284,4,0.05,2022-06-10,2
LOAN002731,CUST00039,Salary Advance,89668,3,0.05,2020-12-19,1
LOAN002732,CUST01795,Boda Boda Loan,348692,38,0.12,2022-04-24,7
LOAN002733,CUST00771,Emergency Loan,10440,8,0.09,2020-04-18,2
LOAN002734,CUST02975,Boda Boda Loan,942025,13,0.12,2021-07-29,14
LOAN002735,CUST03335,Boda Boda Loan,754278,31,0.12,2019-10-19,11
LOAN002736,CUST02433,Avocado Loan,409337,33,0.11,2019-07-07,11
LOAN002737,CUST00705,Maziwa Loan,406570,33,0.09,2020-07-10,12
LOAN002738,CUST04678,Normal Loan,874443,33,0.1,2022-09-22,13
LOAN002739,CUST03751,Maziwa Loan,319966,36,0.09,2024-01-01,12
LOAN002740,CUST04204,Maziwa Loan,412062,28,0.09,2019-05-04,7
LOAN002741,CUST04867,Seasonal Advance,175642,9,0.08,2024-03-09,13
LOAN002742,CUST01211,Maziwa Loan,58227,30,0.09,2020-10-20,3
LOAN002743,CUST00764,Special Advance,61807,4,0.06,2021-09-07,2
LOAN002744,CUST00352,Special Advance,52440,5,0.06,2020-12-25,3
LOAN002745,CUST00276,Maziwa Loan,472113,11,0.09,2024-01-01,9
LOAN002746,CUST03556,Emergency Loan,24399,11,0.09,2023-08-26,2
LOAN002747,CUST00283,Emergency Loan,29954,8,0.09,2019-11-25,3
LOAN002748,CUST03668,Boda Boda Loan,202241,42,0.12,2020-01-26,13
LOAN002749,CUST02835,Special Advance,57678,4,0.06,2021-05-18,2
LOAN002750,CUST01719,Special Advance,92426,10,0.06,2021-08-15,2
LOAN002751,CUST00319,Emergency Loan,48626,9,0.09,2021-02-01,1
LOAN002752,CUST00725,Emergency Loan,15596,3,0.09,2024-12-06,1
LOAN002753,CUST04564,Seasonal Advance,26621,19,0.08,2023-10-26,2
LOAN002754,CUST01669,Seasonal Advance,219497,7,0.08,2022-09-04,14
LOAN002755,CUST04471,Special Advance,15514,3,0.06,2023-06-25,1
LOAN002756,CUST03988,Salary Advance,98538,4,0.05,2020-07-03,2
LOAN002757,CUST03788,Emergency Loan,12005,10,0.09,2024-12-23,1
LOAN002758,CUST03261,Maziwa Loan,309285,28,0.09,2019-11-20,14
LOAN002759,CUST03262,Salary Advance,82900,8,0.05,2019-04-21,1
LOAN002760,CUST01525,Avocado Loan,51823,49,0.11,2022-02-12,3
LOAN002761,CUST01727,Jipange Loan,185560,25,0.08,2023-02-16,7
LOAN002762,CUST04246,Special Advance,23119,8,0.06,2024-11-30,3
LOAN002763,CUST03164,Jipange Loan,95021,23,0.08,2019-06-24,1
LOAN002764,CUST04810,Normal Loan,506501,30,0.1,2022-05-11,9
LOAN002765,CUST00240,Green Energy Loan,202182,6,0.07,2019-05-06,11
LOAN002766,CUST00611,Emergency Loan,19186,5,0.09,2024-01-26,1
LOAN002767,CUST01840,Seasonal Advance,178624,9,0.08,2019-07-18,9
LOAN002768,CUST04332,Green Energy Loan,357094,19,0.07,2020-11-17,9
LOAN002769,CUST00229,Additional Loan,64029,18,0.1,2021-03-28,2
LOAN002770,CUST00756,Jipange Loan,264544,18,0.08,2024-09-01,10
LOAN002771,CUST00308,Emergency Loan,18828,6,0.09,2020-12-11,2
LOAN002772,CUST01309,Avocado Loan,245909,20,0.11,2022-06-12,13
LOAN002773,CUST03290,Special Advance,78171,8,0.06,2019-04-29,1
LOAN002774,CUST01353,Salary Advance,10259,7,0.05,2021-01-25,2
LOAN002775,CUST03251,Green Energy Loan,306336,11,0.07,2019-03-07,8
LOAN002776,CUST03307,Avocado Loan,852165,57,0.11,2022-03-15,12
LOAN002777,CUST00922,Green Energy Loan,232201,34,0.07,2023-07-25,8
LOAN002778,CUST00736,Salary Advance,96919,8,0.05,2019-12-27,2
LOAN002779,CUST03403,Green Energy Loan,208245,24,0.07,2024-05-01,13
LOAN002780,CUST04125,Special Advance,66257,11,0.06,2024-09-04,2
LOAN002781,CUST03865,Salary Advance,21553,9,0.05,2022-01-17,3
LOAN002782,CUST02197,Salary Advance,83904,11,0.05,2024-09-05,3
LOAN002783,CUST04100,Seasonal Advance,60896,6,0.08,2020-07-28,1
LOAN002784,CUST03364,Special Advance,95919,10,0.06,2020-06-14,2
LOAN002785,CUST02731,Special Advance,70849,8,0.06,2022-06-15,2
LOAN002786,CUST03805,Boda Boda Loan,825304,46,0.12,2021-04-26,7
LOAN002787,CUST04179,Salary Advance,31531,11,0.05,2023-11-11,2
LOAN002788,CUST01178,Special Advance,93698,11,0.06,2019-09-22,2
LOAN002789,CUST01828,Green Energy Loan,382428,25,0.07,2020-02-05,10
LOAN002790,CUST00919,Emergency Loan,32987,11,0.09,2022-04-29,3
LOAN002791,CUST03046,Jipange Loan,348827,20,0.08,2021-05-23,14
LOAN002792,CUST00476,Salary Advance,64816,8,0.05,2022-04-09,3
LOAN002793,CUST03753,Emergency Loan,49255,10,0.09,2021-05-11,1
LOAN002794,CUST00331,Maziwa Loan,105401,18,0.09,2023-02-28,9
LOAN002795,CUST00349,Emergency Loan,25084,3,0.09,2024-11-19,2
LOAN002796,CUST00468,Additional Loan,44825,14,0.1,2019-05-06,2
LOAN002797,CUST01752,Special Advance,47246,9,0.06,2020-03-25,1
LOAN002798,CUST00687,Boda Boda Loan,218458,14,0.12,2021-07-30,12
LOAN002799,CUST04265,Additional Loan,242979,18,0.1,2019-09-30,11
LOAN002800,CUST01722,Avocado Loan,883500,54,0.11,2022-06-04,12
LOAN002801,CUST01778,Jipange Loan,469377,26,0.08,2023-12-20,7
LOAN002802,CUST03258,Salary Advance,98458,5,0.05,2023-05-26,2
LOAN002803,CUST01382,Normal Loan,369207,56,0.1,2021-11-22,8
LOAN002804,CUST00254,Salary Advance,74181,3,0.05,2024-03-21,2
LOAN002805,CUST04257,Emergency Loan,12939,9,0.09,2020-06-24,2
LOAN002806,CUST04942,Emergency Loan,39606,7,0.09,2024-11-13,2
LOAN002807,CUST00027,Salary Advance,19049,4,0.05,2023-10-19,1
LOAN002808,CUST02619,Emergency Loan,39587,10,0.09,2023-07-25,1
LOAN002809,CUST02404,Maziwa Loan,346741,13,0.09,2020-01-01,13
LOAN002810,CUST00987,Avocado Loan,817800,57,0.11,2022-01-21,7
LOAN002811,CUST01614,Avocado Loan,52118,17,0.11,2023-03-11,2
LOAN002812,CUST03535,Avocado Loan,747669,23,0.11,2021-12-06,11
LOAN002813,CUST01179,Seasonal Advance,496889,24,0.08,2022-06-04,8
LOAN002814,CUST02747,Boda Boda Loan,829660,36,0.12,2023-11-11,12
LOAN002815,CUST00696,Emergency Loan,41572,12,0.09,2022-10-20,3
LOAN002816,CUST04424,Seasonal Advance,49927,17,0.08,2022-06-10,1
LOAN002817,CUST03377,Avocado Loan,554489,18,0.11,2024-09-15,7
LOAN002818,CUST01756,Salary Advance,82450,4,0.05,2021-10-07,2
LOAN002819,CUST04824,Emergency Loan,20875,12,0.09,2024-04-12,1
LOAN002820,CUST00657,Seasonal Advance,261592,12,0.08,2019-08-05,11
LOAN002821,CUST04474,Emergency Loan,49081,4,0.09,2019-12-24,1
LOAN002822,CUST01273,Maziwa Loan,45300,11,0.09,2021-04-03,2
LOAN002823,CUST02420,Maziwa Loan,341255,31,0.09,2020-11-09,14
LOAN002824,CUST04006,Boda Boda Loan,78465,44,0.12,2019-10-11,1
LOAN002825,CUST04563,Special Advance,34759,11,0.06,2024-12-29,2
LOAN002826,CUST01025,Normal Loan,649635,50,0.1,2021-01-04,8
LOAN002827,CUST02586,Avocado Loan,213997,48,0.11,2021-12-11,11
LOAN002828,CUST01732,Special Advance,80658,9,0.06,2024-02-05,3
LOAN002829,CUST00628,Boda Boda Loan,222030,17,0.12,2021-11-05,8
LOAN002830,CUST02545,Jipange Loan,206597,13,0.08,2021-06-07,7
LOAN002831,CUST00269,Special Advance,89114,4,0.06,2021-10-26,3
LOAN002832,CUST04055,Normal Loan,247741,26,0.1,2024-04-14,8
LOAN002833,CUST02657,Normal Loan,580074,26,0.1,2019-06-15,10
LOAN002834,CUST01433,Salary Advance,90131,12,0.05,2019-05-01,3
LOAN002835,CUST00055,Emergency Loan,21403,10,0.09,2020-02-25,1
LOAN002836,CUST03896,Maziwa Loan,488673,25,0.09,2019-09-25,9
LOAN002837,CUST03633,Special Advance,77621,4,0.06,2023-11-13,3
LOAN002838,CUST02458,Seasonal Advance,300905,12,0.08,2019-01-05,12
LOAN002839,CUST01393,Special Advance,11455,5,0.06,2021-06-13,2
LOAN002840,CUST04586,Normal Loan,838322,50,0.1,2024-04-15,7
LOAN002841,CUST02164,Normal Loan,222681,48,0.1,2024-10-14,10
LOAN002842,CUST01794,Boda Boda Loan,669074,25,0.12,2019-02-16,8
LOAN002843,CUST02342,Normal Loan,474851,56,0.1,2024-10-16,13
LOAN002844,CUST03018,Special Advance,17282,12,0.06,2019-03-14,3
LOAN002845,CUST00467,Boda Boda Loan,669778,13,0.12,2024-07-15,11
LOAN002846,CUST02513,Green Energy Loan,495048,27,0.07,2024-09-08,8
LOAN002847,CUST04204,Boda Boda Loan,680180,28,0.12,2021-10-23,10
LOAN002848,CUST00565,Avocado Loan,817496,19,0.11,2020-06-04,8
LOAN002849,CUST03500,Normal Loan,982727,28,0.1,2023-08-15,11
LOAN002850,CUST02431,Salary Advance,85764,8,0.05,2021-04-27,2
LOAN002851,CUST02839,Emergency Loan,36071,9,0.09,2022-10-27,3
LOAN002852,CUST04256,Seasonal Advance,233530,12,0.08,2023-02-14,7
LOAN002853,CUST02438,Avocado Loan,866858,45,0.11,2019-09-13,14
LOAN002854,CUST01795,Avocado Loan,901046,30,0.11,2021-06-20,14
LOAN002855,CUST03075,Seasonal Advance,241853,17,0.08,2022-12-17,12
LOAN002856,CUST04129,Avocado Loan,61110,26,0.11,2023-09-18,3
LOAN002857,CUST02980,Emergency Loan,21074,3,0.09,2021-10-27,1
LOAN002858,CUST00832,Avocado Loan,461016,12,0.11,2024-09-25,13
LOAN002859,CUST00282,Special Advance,96883,12,0.06,2021-10-22,3
LOAN002860,CUST03248,Additional Loan,110886,12,0.1,2023-02-09,8
LOAN002861,CUST03658,Avocado Loan,90887,30,0.11,2022-12-16,3
LOAN002862,CUST03628,Seasonal Advance,151886,17,0.08,2021-08-28,10
LOAN002863,CUST00139,Additional Loan,460786,25,0.1,2021-03-27,14
LOAN002864,CUST04549,Special Advance,16086,9,0.06,2024-01-16,2
LOAN002865,CUST01251,Green Energy Loan,316976,21,0.07,2024-03-27,10
LOAN002866,CUST02398,Seasonal Advance,439329,10,0.08,2023-01-09,10
LOAN002867,CUST00531,Special Advance,92186,10,0.06,2022-01-25,3
LOAN002868,CUST01734,Emergency Loan,23594,9,0.09,2019-02-04,2
LOAN002869,CUST01336,Avocado Loan,82212,15,0.11,2019-07-08,2
LOAN002870,CUST03703,Avocado Loan,619951,54,0.11,2021-08-02,14
LOAN002871,CUST00109,Normal Loan,388826,14,0.1,2021-08-04,14
LOAN002872,CUST00723,Avocado Loan,878723,32,0.11,2021-08-31,11
LOAN002873,CUST00499,Special Advance,99157,5,0.06,2021-01-26,2
LOAN002874,CUST02105,Green Energy Loan,392636,36,0.07,2022-07-31,9
LOAN002875,CUST01119,Boda Boda Loan,195002,47,0.12,2022-10-03,10
LOAN002876,CUST04730,Avocado Loan,900834,14,0.11,2023-12-09,7
LOAN002877,CUST01516,Green Energy Loan,159747,29,0.07,2020-08-10,11
LOAN002878,CUST02193,Emergency Loan,33831,3,0.09,2022-10-03,3
LOAN002879,CUST02831,Special Advance,50527,7,0.06,2022-01-26,3
LOAN002880,CUST03518,Seasonal Advance,36665,8,0.08,2019-08-11,1
LOAN002881,CUST02426,Maziwa Loan,477979,21,0.09,2021-04-05,10
LOAN002882,CUST00269,Emergency Loan,49324,11,0.09,2022-09-13,1
LOAN002883,CUST00337,Avocado Loan,571217,22,0.11,2021-04-16,8
LOAN002884,CUST03825,Normal Loan,449355,18,0.1,2023-12-16,11
LOAN002885,CUST03511,Additional Loan,216866,31,0.1,2024-03-18,13
LOAN002886,CUST03825,Green Energy Loan,221682,22,0.07,2022-12-23,7
LOAN002887,CUST01192,Avocado Loan,332875,51,0.11,2021-03-06,14
LOAN002888,CUST04327,Boda Boda Loan,766618,22,0.12,2024-01-21,13
LOAN002889,CUST00353,Boda Boda Loan,802264,25,0.12,2019-08-09,13
LOAN002890,CUST02562,Emergency Loan,36736,7,0.09,2020-07-13,2
LOAN002891,CUST00205,Boda Boda Loan,399241,16,0.12,2023-10-08,12
LOAN002892,CUST03330,Maziwa Loan,68145,17,0.09,2020-09-27,2
LOAN002893,CUST01787,Salary Advance,60191,7,0.05,2024-09-03,3
LOAN002894,CUST02432,Maziwa Loan,377776,17,0.09,2022-10-20,9
LOAN002895,CUST03429,Boda Boda Loan,934006,18,0.12,2023-05-02,10
LOAN002896,CUST02373,Emergency Loan,24360,7,0.09,2020-04-02,3
LOAN002897,CUST02118,Normal Loan,475173,30,0.1,2021-11-28,12
LOAN002898,CUST00562,Special Advance,59828,8,0.06,2021-06-24,1
LOAN002899,CUST01888,Salary Advance,48155,8,0.05,2021-12-25,1
LOAN002900,CUST04272,Seasonal Advance,279458,6,0.08,2019-04-22,10
LOAN002901,CUST00721,Maziwa Loan,23379,7,0.09,2024-11-28,2
LOAN002902,CUST00393,Special Advance,64758,11,0.06,2020-02-17,2
LOAN002903,CUST00245,Jipange Loan,88187,26,0.08,2019-07-05,3
LOAN002904,CUST03194,Seasonal Advance,95304,19,0.08,2019-02-20,3
LOAN002905,CUST03240,Normal Loan,982989,29,0.1,2019-12-21,13
LOAN002906,CUST00130,Emergency Loan,41255,6,0.09,2019-10-04,1
LOAN002907,CUST03974,Salary Advance,58793,4,0.05,2024-01-10,1
LOAN002908,CUST01683,Emergency Loan,37040,12,0.09,2021-06-07,2
LOAN002909,CUST04705,Normal Loan,442341,31,0.1,2020-05-28,14
LOAN002910,CUST03091,Boda Boda Loan,942712,29,0.12,2022-06-23,10
LOAN002911,CUST04769,Normal Loan,995119,57,0.1,2024-10-23,14
LOAN002912,CUST04600,Avocado Loan,436196,33,0.11,2024-08-12,12
LOAN002913,CUST04845,Salary Advance,80664,4,0.05,2019-10-17,3
LOAN002914,CUST01853,Jipange Loan,333524,32,0.08,2019-03-24,7
LOAN002915,CUST02590,Maziwa Loan,341372,34,0.09,2023-05-03,11
LOAN002916,CUST01938,Avocado Loan,113275,18,0.11,2022-08-08,12
